dimension_reduction_type,model,n_estimators,max_depth,rmse,mae,r2,spearman_r,within_1_acc,qwk
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Random Forest,100,10.0,1.080871176603017,0.8632571954139193,0.5465672871768219,0.7352075431881518,0.8363636363636363,0.534041897720271
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Random Forest,100,20.0,1.0646467617349558,0.8456363636363637,0.5600776238131895,0.7530358215074825,0.8545454545454545,0.5648854961832062
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Random Forest,100,30.0,1.1092438046623556,0.8818181818181818,0.5224498332050295,0.7180905512937061,0.8181818181818182,0.5195241000610129
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Random Forest,100,,1.0808296476654993,0.8554545454545452,0.5466021298434693,0.7485514219399555,0.8363636363636363,0.5412484316185696
"Lasso (alpha=1.0, top-100) + SMOTE",Random Forest,10,10.0,1.3090758942918805,1.0553996825928642,0.3452422137138952,0.5733908773775792,0.7363636363636363,0.43084455324357396
"Lasso (alpha=1.0, top-100) + SMOTE",Random Forest,10,20.0,1.3615165341365754,1.0736363636363635,0.2917332407085793,0.5403983613975486,0.7272727272727273,0.3928994082840237
"Lasso (alpha=1.0, top-100) + SMOTE",Random Forest,10,30.0,1.2992655267846174,1.0190909090909088,0.3550191038555054,0.6056054989602354,0.7818181818181819,0.475
"Lasso (alpha=1.0, top-100) + SMOTE",Random Forest,10,,1.3825207544061087,1.1027272727272728,0.2697117054532825,0.5095954865733784,0.7090909090909091,0.3521184697655285
"Lasso (alpha=1.0, top-100) + SMOTE",Random Forest,20,10.0,1.261735730853075,1.0037590243914298,0.39174200765457534,0.6167814593104921,0.7727272727272727,0.46542553191489355
"Lasso (alpha=1.0, top-100) + SMOTE",Random Forest,20,20.0,1.267746748440641,1.0163636363636364,0.38593261549149005,0.6002605789206675,0.7727272727272727,0.4604496253122399
"Lasso (alpha=1.0, top-100) + SMOTE",Random Forest,20,30.0,1.2797283092338567,1.0131818181818182,0.3742705800625217,0.5971864461525717,0.7545454545454545,0.42801556420233466
"Lasso (alpha=1.0, top-100) + SMOTE",Random Forest,20,,1.2617538299021436,0.9931818181818182,0.391724557137895,0.622370632843368,0.7727272727272727,0.5
"Lasso (alpha=1.0, top-100) + SMOTE",Random Forest,50,10.0,1.2421124572793896,0.9862017723009752,0.4105148689887087,0.6422629635437218,0.7636363636363637,0.4533789563729683
"Lasso (alpha=1.0, top-100) + SMOTE",Random Forest,50,20.0,1.2822919820667706,1.0329090909090908,0.37176102813476897,0.5986594616671002,0.7727272727272727,0.457737321196359
"Lasso (alpha=1.0, top-100) + SMOTE",Random Forest,50,30.0,1.2525813346844985,0.9945454545454546,0.40053629732546014,0.6283494970601418,0.7818181818181819,0.47150935189212695
"Lasso (alpha=1.0, top-100) + SMOTE",Random Forest,50,,1.2621583246025976,0.9998181818181818,0.391334491142758,0.6214317816726691,0.7727272727272727,0.4724137931034482
"Lasso (alpha=1.0, top-100) + SMOTE",Random Forest,100,10.0,1.2614820406512224,0.9942055613613457,0.3919865811830048,0.6268493532469,0.7818181818181819,0.4545454545454546
"Lasso (alpha=1.0, top-100) + SMOTE",Random Forest,100,20.0,1.23693756732284,0.9787272727272728,0.4154164640500174,0.6451435265557258,0.7909090909090909,0.4815937635339974
"Lasso (alpha=1.0, top-100) + SMOTE",Random Forest,100,30.0,1.2567280750207876,1.006181818181818,0.39656061132337617,0.6297693655781131,0.7909090909090909,0.4943820224719101
"Lasso (alpha=1.0, top-100) + SMOTE",Random Forest,100,,1.2437037794061299,0.9868181818181815,0.4090034734282736,0.6335648772905992,0.8,0.504302925989673
"Ridge (alpha=1.0, top-100) + SMOTE",Random Forest,10,10.0,1.2186484484102211,0.9647145318286952,0.4325757398770741,0.6586447816439486,0.7454545454545455,0.47737284741690034
"Ridge (alpha=1.0, top-100) + SMOTE",Random Forest,10,20.0,1.2102591758492363,0.9436363636363635,0.44036123654046544,0.6667749061407374,0.7545454545454545,0.5173966434711421
"Ridge (alpha=1.0, top-100) + SMOTE",Random Forest,10,30.0,1.2016276839808124,0.9554545454545456,0.4483153872872523,0.6481428056968506,0.7818181818181819,0.47983367983367986
"Ridge (alpha=1.0, top-100) + SMOTE",Random Forest,10,,1.205932306256337,0.9645454545454545,0.4443556790552273,0.6650248413716092,0.7818181818181819,0.5388198757763976
"Ridge (alpha=1.0, top-100) + SMOTE",Random Forest,20,10.0,1.2125768615801944,0.958777581522188,0.438215731238749,0.6545660958766211,0.7636363636363637,0.4917197452229298
"Ridge (alpha=1.0, top-100) + SMOTE",Random Forest,20,20.0,1.1997158754547603,0.9509090909090907,0.45006946856547403,0.6749582860544004,0.7636363636363637,0.5112781954887218
"Ridge (alpha=1.0, top-100) + SMOTE",Random Forest,20,30.0,1.2657552542400778,1.017272727272727,0.38786036818339686,0.6200559048005859,0.7363636363636363,0.44852021675698206
"Ridge (alpha=1.0, top-100) + SMOTE",Random Forest,20,,1.231951519116944,0.994090909090909,0.4201198332754428,0.6321840961437833,0.7636363636363637,0.47547169811320755
"Ridge (alpha=1.0, top-100) + SMOTE",Random Forest,50,10.0,1.1729832414745498,0.9696885284900524,0.4743040454122416,0.6889141478043385,0.8,0.5443037974683544
"Ridge (alpha=1.0, top-100) + SMOTE",Random Forest,50,20.0,1.2178505655457077,0.979090909090909,0.4333185133726988,0.6586721366294778,0.7909090909090909,0.5199999999999999
"Ridge (alpha=1.0, top-100) + SMOTE",Random Forest,50,30.0,1.1675864772333489,0.950181818181818,0.47913025356026406,0.6857592240942609,0.8090909090909091,0.5498139727159983
"Ridge (alpha=1.0, top-100) + SMOTE",Random Forest,50,,1.15426954469837,0.9187272727272725,0.4909440778047932,0.6984891421696993,0.7818181818181819,0.552444630171333
"Ridge (alpha=1.0, top-100) + SMOTE",Random Forest,100,10.0,1.1921397440151023,0.9613921282046662,0.4569930926757787,0.6739846622700553,0.7454545454545455,0.48798988621997474
"Ridge (alpha=1.0, top-100) + SMOTE",Random Forest,100,20.0,1.2172158992777515,0.9750909090909091,0.43390899617922885,0.6479446793399605,0.7363636363636363,0.45627376425855515
"Ridge (alpha=1.0, top-100) + SMOTE",Random Forest,100,30.0,1.1739974446309498,0.9482727272727272,0.47339458145189306,0.6918701591064448,0.7727272727272727,0.49056603773584906
