dimension_reduction_type,model,n_estimators,max_depth,learning_rate,rmse,mae,r2,spearman_r,within_1_acc,qwk
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,50,3,0.1,1.218694958059517,0.9886758601995221,0.4325324276208209,0.6598159442197612,0.7636363636363637,0.5110236220472442
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,50,5,0.05,1.2986960476885325,1.0505794158289945,0.35558438113581214,0.5895671358194099,0.7545454545454545,0.43481717011128773
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,50,5,0.1,1.2623370845611828,1.0147757324107751,0.3911620678831993,0.6333642893370613,0.7545454545454545,0.4937712344280861
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,100,2,0.05,1.2128835251787997,0.9656424988712655,0.4379315421274166,0.6639978600256893,0.8090909090909091,0.5363083164300203
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,100,2,0.1,1.2323134350825058,0.9581279567955128,0.41977907519509217,0.6535315437308089,0.7909090909090909,0.5180995475113122
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,100,3,0.05,1.2135217745782843,0.9610653211176957,0.43733983775158336,0.6568927527964334,0.7909090909090909,0.5652694610778443
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,100,3,0.1,1.231916935574159,0.9914864750089067,0.4201523897985865,0.6511570270383581,0.7272727272727273,0.4984520123839009
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,100,5,0.05,1.27208813895672,1.0146709061923196,0.38171967467807955,0.6103291720642761,0.7454545454545455,0.4390435123480988
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,100,5,0.1,1.256327919097353,1.0046646756145294,0.39694483350683085,0.6279005955884124,0.7727272727272727,0.5119881962375508
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,200,2,0.05,1.2126496807838476,0.9432753166477792,0.438148255249849,0.6679307973823116,0.8,0.5427098674521356
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,200,2,0.1,1.2524975077503688,0.9701509651217627,0.40061653087427085,0.6502118310734019,0.7818181818181819,0.5505146778497904
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,200,3,0.05,1.2320111276502457,0.9738725238880019,0.42006371638783147,0.6384821796838971,0.7727272727272727,0.5534351145038168
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,200,3,0.1,1.252681933964617,1.0032161726134825,0.40044000331730945,0.6321332292266063,0.7545454545454545,0.545176110260337
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,200,5,0.05,1.2728541496188233,1.0089060647188164,0.3809748333372548,0.610850182523008,0.7545454545454545,0.452418096723869
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,200,5,0.1,1.2553911268226297,1.0030801929248174,0.3978438452811771,0.6290209986102873,0.7818181818181819,0.5186278126152711
