dimension_reduction_type,n_features,model,mean_squared_error,mean_absolute_error,f1_score,accuracy_score,execution_time_seconds,alpha,prediction_std,max_depth,min_samples_split,n_estimators
All Features,17975,Random Forest,1.6590909090909094,1.0354545454545452,0.20513925017409085,0.24545454545454545,42.223456382751465,,,30,,20.0
All Features,17975,Random Forest,1.571931818181818,1.0122727272727272,0.24021692634931194,0.2636363636363636,42.38656449317932,,,None,,20.0
All Features,17975,Random Forest,1.5764939024121232,1.0241659834070522,0.2430486299926759,0.2545454545454545,105.66305708885193,,,10,,50.0
All Features,17975,Random Forest,1.479236363636364,0.9923636363636364,0.2547416902872724,0.2818181818181818,106.1796510219574,,,20,,50.0
All Features,17975,Random Forest,1.504250909090909,0.9976363636363634,0.2528735012525445,0.2818181818181818,107.79618620872498,,,30,,50.0
All Features,17975,Random Forest,1.492901818181818,0.9858181818181818,0.2605344087730452,0.2636363636363636,104.82476687431335,,,None,,50.0
All Features,17975,Random Forest,1.5209453147992489,1.0083707877757466,0.21277096691801878,0.23636363636363636,215.22099208831787,,,10,,100.0
All Features,17975,Random Forest,1.503898181818182,1.0101818181818183,0.21206611570247935,0.23636363636363636,234.8115029335022,,,20,,100.0
All Features,17975,Random Forest,1.4936818181818179,0.9845454545454545,0.2679045410917069,0.2909090909090909,221.40192914009094,,,30,,100.0
All Features,17975,Random Forest,1.4755754545454547,0.9813636363636364,0.2553215683837693,0.2636363636363636,222.93620419502258,,,None,,100.0
