feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,target
-11121.739651293195,-477.3351567305158,-4574.076078212936,1008.6209719431326,-963.9676945834156,-954.5092548933502,0.0
-1313.5490533149004,-1965.494366486002,-2225.088093219378,2907.231130026171,-1925.720257017887,882.833533791879,1.0
8352.05876656791,-3714.2393802972942,2254.2013183977506,-6197.062517475136,-3075.6920793450417,-3837.2132598380726,5.0
-8851.089663222196,-1063.7367165693945,-158.1458079481,802.1639965069443,-334.8177855861302,-797.8866182166533,1.0
-9483.329930246035,-1123.8203288567156,1622.344419339173,1749.3401737151673,3545.474234948803,2972.930753477903,3.0
-14154.208348503975,-275.69876051334165,-1446.0790595554913,-1314.757764401194,1479.0921120168969,379.8265240016711,4.0
13566.756319763022,-3164.8962158969252,-6039.143847075845,-454.85548690623375,-832.1200620177291,1622.6437799013738,2.0
-15170.151785411892,17.68131499591703,-3978.4848949609336,-136.20667775201355,324.7032613233338,-458.2238589594134,4.0
-10845.723915611014,-643.4984388491703,-2272.0446325536736,-2916.7446579891334,-1135.4672388785161,-1707.9700289458112,5.0
-8013.8843916080195,-1151.7698787686993,707.4802586129304,-2759.7801892387765,-188.34963842937535,-2161.9939994710057,5.0
-15390.366554369675,-328.92096119082385,6756.769472128973,740.0148588898409,-3389.0649562463955,563.1392808616605,3.0
-7729.274719430151,-1058.5180410774458,-2056.9726961550937,1438.2331129292663,-1023.3390250476574,-547.9908704617349,4.0
-10984.005259521806,-602.4812238881838,-2022.725950940467,-2108.177595423135,-1141.566955509256,-1425.0117941778046,3.0
-6644.391783068451,-1279.7551364585033,-3452.69945695347,-240.98094450371767,2289.392611402631,-553.2083885275781,5.0
-5966.103236869796,-1287.0330468811726,-3136.4924971137957,208.63709586044448,-500.10409456962606,749.1090668844938,5.0
-9053.269283196918,-1013.3393531555531,-248.1837588308273,-2377.266211748552,-1273.5585511394665,-2613.61197118508,4.0
-808.2278819860661,-2348.1682238267394,393.2676587048372,2371.6550806483842,4396.544859271821,-1101.9916062742761,3.0
-12784.045758657854,-384.41730841214576,-2587.6584089205503,1640.3536462525087,1450.941963545701,1906.3723124054554,1.0
26253.598968816343,-6220.380170789122,4771.579736787534,2511.7056719969,21890.48020010359,-3439.617972996957,0.0
2183.279158635189,-2387.8787613380423,-5215.3612722939515,-2251.644274079084,1084.4418501696875,-2001.891489546825,5.0
-9482.189387970544,-764.758600413802,-3027.6022732348038,-637.9094959320586,1295.401415437118,788.1252851622845,3.0
-8178.5955265344965,-1266.3469309028246,2068.673014936903,2414.2249390141747,8350.110628594157,662.8381561815057,5.0
-11347.174516222445,-590.7610630741025,-1586.1374575854363,-3257.0176472312764,-708.0134244497282,-1184.6978963017953,5.0
12157.552010457926,1471.9380522310425,-1680.86456091358,-1899.3064641757103,-1899.077325446309,-4927.229101454843,0.0
14202.70438542585,-4097.893520792208,-5099.802772612192,5508.090781870554,-2895.9780585363137,499.4677592404605,0.0
-9529.155205868276,-802.5289581431025,-2148.420394819505,-1235.1799602401745,1541.1108902562696,2001.7897610595528,5.0
-3973.829226970944,-1589.107474548975,-2491.726992722725,-62.68041460119362,-283.2679327251564,204.751315241703,2.0
-14807.141813416287,-119.48361643996448,-2297.0518937771835,-1095.2852491994665,2495.510980273181,325.79633324312107,2.0
13608.786522556351,-4295.60657482245,1984.1631054685868,-4251.474197179211,-1828.3388013886315,-2286.375112344972,5.0
24177.95198490454,-5788.2347236943315,681.1377319506842,1503.714005924403,-2057.443000006588,-4309.445923261071,3.0
